title,price,details,link,image_url,image_file,year,mileage,location
FIT 1.5 EX 16V FLEX AUTOMÁTICO,,,https://www.carflix.com.br/comprar/82297/honda/fit/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/5cc63861-b8f5-46c5-aeeb-2b1f85bf2793/638817936861030928-1746207220928.jpg?height=215&mode=crop&compress=true&width=285,015_FIT_15_EX_16V_FLEX_AUTOMÁTICO.jpg,,,
CITY 1.5 DX 16V FLEX AUTOMÁTICO,"R$ 70.890,00",,https://www.carflix.com.br/comprar/80950/honda/city/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/d1509e30-2ab4-4997-aac9-8bc9608ece5a/638802305526700575-638802305526700575-blob.jpg?height=215&mode=crop&compress=true&width=285,016_CITY_15_DX_16V_FLEX_AUTOMÁTICO.jpg,,,
TRACKER 1.0 TURBO FLEX AUTOMÁTICO AUTOMÁTICO,"R$ 97.890,00",,https://www.carflix.com.br/comprar/66667/chevrolet/tracker/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/32ac60e5-83ce-47a0-a2fb-27812d082324/638615895400252670-638615895400252670-blob.jpg?height=215&mode=crop&compress=true&width=285,017_TRACKER_10_TURBO_FLEX_AUTOMÁTICO_AUTOMÁTICO.jpg,,,
HB20 1.0 COMFORT 12V FLEX MANUAL,,,https://www.carflix.com.br/comprar/84641/hyundai/hb20/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/0d0452f7-9389-47b2-a9c3-1c1f8bbc9aca/638863721645171354-638863721645171354-blob.jpg?height=215&mode=crop&compress=true&width=285,018_HB20_10_COMFORT_12V_FLEX_MANUAL.jpg,,,
T40 1.5 16V JETFLEX 4P MANUAL,"R$ 65.390,00",,https://www.carflix.com.br/comprar/77753/jac/t40/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/da3b3ea9-0abd-4456-8e19-0de0eb753731/638762743432652408-638762743432652408-blob.jpg?height=215&mode=crop&compress=true&width=285,019_T40_15_16V_JETFLEX_4P_MANUAL.jpg,,,
FUSION 2.5 16V FLEX 4P AUTOMÁTICO,"R$ 67.890,00",,https://www.carflix.com.br/comprar/82826/ford/fusion/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/58b910fa-f47c-4b39-9656-57dcfb8cf978/638828127374176070-638828127373707316-blob.jpg?height=215&mode=crop&compress=true&width=285,020_FUSION_25_16V_FLEX_4P_AUTOMÁTICO.jpg,,,
KA 1.0 MPI 8V FLEX MANUAL,"R$ 28.890,00",,https://www.carflix.com.br/comprar/80234/ford/ka/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/84bdd010-2492-4304-8f94-6ea96d209ac2/638787547690650980-638787547690650980-blob.jpg?height=215&mode=crop&compress=true&width=285,021_KA_10_MPI_8V_FLEX_MANUAL.jpg,,,
HAVAL H6 1.5 PHEV PREMIUM AUTOMÁTICO,"R$ 225.000,00",,https://www.carflix.com.br/comprar/68251/gwm/haval-h6/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/d5af6f57-c267-4764-99d7-637976d3658d/638633851969324340-638633851969324340-blob.jpg?height=215&mode=crop&compress=true&width=285,022_HAVAL_H6_15_PHEV_PREMIUM_AUTOMÁTICO.jpg,,,
IDEA 1.4 MPI ELX 8V MANUAL,"R$ 28.890,00",,https://www.carflix.com.br/comprar/80857/fiat/idea/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/01b6ab6d-1c1e-4a39-b047-3dc1058f250a/638798179406599510-638798179406599510-blob.jpg?height=215&mode=crop&compress=true&width=285,023_IDEA_14_MPI_ELX_8V_MANUAL.jpg,,,
TRACKER 1.2 TURBO FLEX PREMIER AUTOMÁTICO,"R$ 88.890,00",,https://www.carflix.com.br/comprar/73241/chevrolet/tracker/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/718b812b-b564-4164-9c80-292bdfa80d19/638957803488115426-638957803488115426-blob.jpg?height=215&mode=crop&compress=true&width=285,024_TRACKER_12_TURBO_FLEX_PREMIER_AUTOMÁTICO.jpg,,,
SENTRA 2.0 16V GASOLINA ADVANCE AUTOMÁTICO,,,https://www.carflix.com.br/comprar/84713/nissan/sentra/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/250a14ef-f4b7-4144-be73-c098514ea7a8/638942424003464828-638942424003464828-blob.jpg?height=215&mode=crop&compress=true&width=285,025_SENTRA_20_16V_GASOLINA_ADVANCE_AUTOMÁTICO.jpg,,,
HAVAL H6 1.5 HEV ETRACTION AUTOMÁTICO,,,https://www.carflix.com.br/comprar/78479/gwm/haval-h6/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/bf07d5ac-cd55-4b5e-8867-73017770cbd9/638768755482997995-638768755482997995-Frente_%C3%A2ngulo_do_motorista.jpg?height=215&mode=crop&compress=true&width=285,026_HAVAL_H6_15_HEV_ETRACTION_AUTOMÁTICO.jpg,,,
OUTLANDER 3.0 GT 4X4 V6 AUTOMÁTICO,"R$ 89.900,00",,https://www.carflix.com.br/comprar/77077/mitsubishi/outlander/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/742633b2-a221-4ca7-aa4f-b35637263589/638758267365983394-638758267365983394-Frente_%C3%A2ngulo_do_motorista.jpg?height=215&mode=crop&compress=true&width=285,027_OUTLANDER_30_GT_4X4_V6_AUTOMÁTICO.jpg,,,
